geometry_id,layer_type,point1_latitude,point1_longitude,scatter_radius,heatmap_weight,scatter_fill_color_hex,crash_severity,crash_severity_code,crash_year,fatal_count,serious_injury_count,minor_injury_count,pedestrian,bicycle,motorcycle,speed_limit,tooltip_html
crash_60121,scatter,-37.797727,175.277958,25,1.0,#51127cee,Non-Injury Crash,1,2021,0,0,0,,0,0,20,<div><strong>Non-Injury Crash</strong><br><span>Year: 2021</span><br><span>Speed limit: 20 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60122,scatter,-37.784077,175.273141,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60123,scatter,-37.812048,175.28228,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60124,scatter,-37.790019,175.32587,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60125,scatter,-37.785703,175.274733,25,1.0,#51127cee,Non-Injury Crash,1,2022,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2022</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60126,scatter,-37.750298,175.293154,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,80,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 80 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60127,scatter,-37.784068,175.307908,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60128,scatter,-37.795613,175.278114,25,1.0,#51127cee,Non-Injury Crash,1,2023,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2023</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60129,scatter,-37.779068,175.247983,25,1.0,#51127cee,Non-Injury Crash,1,2024,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2024</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
crash_60130,scatter,-37.785839,175.264786,25,1.0,#51127cee,Non-Injury Crash,1,2025,0,0,0,,0,0,50,<div><strong>Non-Injury Crash</strong><br><span>Year: 2025</span><br><span>Speed limit: 50 km/h</span><br><span>Fatal: 0 | Serious: 0 | Minor: 0</span></div>
