geometry_id,layer_type,origin_geometry_id,origin_sa2_code,origin_sa2_name,origin_sa2_reference_name,destination_geometry_id,destination_sa2_code,destination_sa2_name,destination_sa2_reference_name,point1_latitude,point1_longitude,point2_latitude,point2_longitude,people_count,people_count_rank,arc_line_width_m,arc_opacity,arc_count_band,arc_count_band_sort_order,arc_source_color_value,arc_target_color_value,arc_base_color_hex,arc_source_color_rgba,arc_target_color_rgba,count_2023_work_at_home,count_2023_drive_a_private_car_truck_or_van,count_2023_drive_a_company_car_truck_or_van,count_2023_passenger_in_a_car_truck_van_or_company_bus,count_2023_public_bus,count_2023_train,count_2023_bicycle,count_2023_walk_or_jog,count_2023_ferry,count_2023_other,count_2023_total_stated,origin_has_geometry,destination_has_geometry,has_origin_point,has_destination_point,has_both_points,is_same_sa2,arc_is_valid,tooltip_html
sa2_od_172100__176301,arc,sa2_172100,172100,Ngaruawahia Central,Ngaruawahia Central,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.672151239508224,175.1537250893873,-37.75883079239065,175.23971391369508,186,31,363,0.716,High (85-199),4,186,186,#ffdc7cff,"rgba(255, 231, 161, 0.516)","rgba(255, 220, 124, 0.716)",,153,18,6,6,,,,,,186,True,True,True,True,True,False,True,<div><span>Origin SA2: Ngaruawahia Central (172100)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 186</span></div>
sa2_od_177000__176301,arc,sa2_177000,177000,Western Heights (Hamilton City),Western Heights (Hamilton City),sa2_176301,176301,Te Rapa South,Te Rapa South,-37.78528581595473,175.22663966802807,-37.75883079239065,175.23971391369508,180,32,360,0.71,High (85-199),4,180,180,#ffde7fff,"rgba(255, 232, 163, 0.511)","rgba(255, 222, 127, 0.710)",,129,27,15,6,,,,,,180,True,True,True,True,True,False,True,<div><span>Origin SA2: Western Heights (Hamilton City) (177000)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 180</span></div>
sa2_od_178000__178901,arc,sa2_178000,178000,Maeroa,Maeroa,sa2_178901,178901,Frankton Junction,Frankton Junction,-37.77834857089125,175.26028849396485,-37.79592696152542,175.26300437719928,180,33,360,0.71,High (85-199),4,180,180,#ffde7fff,"rgba(255, 232, 163, 0.511)","rgba(255, 222, 127, 0.710)",,108,45,12,,,,6,,,180,True,True,True,True,True,False,True,<div><span>Origin SA2: Maeroa (178000)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 180</span></div>
sa2_od_179600__179401,arc,sa2_179600,179600,Peachgrove,Peachgrove,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.78010349937266,175.3007564353992,-37.78937741033796,175.28276636339749,180,34,360,0.71,High (85-199),4,180,180,#ffde7fff,"rgba(255, 232, 163, 0.511)","rgba(255, 222, 127, 0.710)",,120,,9,6,,12,21,,6,180,True,True,True,True,True,False,True,<div><span>Origin SA2: Peachgrove (179600)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 180</span></div>
sa2_od_172800__178901,arc,sa2_172800,172800,Whatawhata East,Whatawhata East,sa2_178901,178901,Frankton Junction,Frankton Junction,-37.80040282278496,175.15911936513464,-37.79592696152542,175.26300437719928,177,35,358,0.708,High (85-199),4,177,177,#ffde80ff,"rgba(255, 232, 164, 0.510)","rgba(255, 222, 128, 0.708)",,108,57,,,,,,,,177,True,True,True,True,True,False,True,<div><span>Origin SA2: Whatawhata East (172800)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 177</span></div>
sa2_od_175302__176301,arc,sa2_175302,175302,Flagstaff North East,Flagstaff North East,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.72195960199068,175.24753794281298,-37.75883079239065,175.23971391369508,177,36,358,0.708,High (85-199),4,177,177,#ffde80ff,"rgba(255, 232, 164, 0.510)","rgba(255, 222, 128, 0.708)",,138,27,,,,,,,,177,True,True,True,True,True,False,True,<div><span>Origin SA2: Flagstaff North East (175302)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 177</span></div>
sa2_od_175501__176301,arc,sa2_175501,175501,Flagstaff South,Flagstaff South,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.72965115507405,175.23987935415855,-37.75883079239065,175.23971391369508,177,37,358,0.708,High (85-199),4,177,177,#ffde80ff,"rgba(255, 232, 164, 0.510)","rgba(255, 222, 128, 0.708)",,114,39,9,6,,,,,,177,True,True,True,True,True,False,True,<div><span>Origin SA2: Flagstaff South (175501)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 177</span></div>
sa2_od_175501__179401,arc,sa2_175501,175501,Flagstaff South,Flagstaff South,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.72965115507405,175.23987935415855,-37.78937741033796,175.28276636339749,174,38,357,0.705,High (85-199),4,174,174,#ffdf82ff,"rgba(255, 232, 165, 0.508)","rgba(255, 223, 130, 0.705)",,138,18,6,,,6,,,,174,True,True,True,True,True,False,True,<div><span>Origin SA2: Flagstaff South (175501)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 174</span></div>
sa2_od_175801__179401,arc,sa2_175801,175801,Flagstaff East,Flagstaff East,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.73414088659899,175.2537018138003,-37.78937741033796,175.28276636339749,174,39,357,0.705,High (85-199),4,174,174,#ffdf82ff,"rgba(255, 232, 165, 0.508)","rgba(255, 223, 130, 0.705)",,126,6,12,15,,9,,,,174,True,True,True,True,True,False,True,<div><span>Origin SA2: Flagstaff East (175801)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 174</span></div>
sa2_od_177200__179401,arc,sa2_177200,177200,Nawton East,Nawton East,sa2_179401,179401,Hamilton Central,Hamilton Central,-37.77962010539774,175.24017006118234,-37.78937741033796,175.28276636339749,174,40,357,0.705,High (85-199),4,174,174,#ffdf82ff,"rgba(255, 232, 165, 0.508)","rgba(255, 223, 130, 0.705)",,132,9,12,12,,,,,,174,True,True,True,True,True,False,True,<div><span>Origin SA2: Nawton East (177200)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 174</span></div>
sa2_od_179901__176301,arc,sa2_179901,179901,Greensboro,Greensboro,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.78565039177126,175.3100917546465,-37.75883079239065,175.23971391369508,174,41,357,0.705,High (85-199),4,174,174,#ffdf82ff,"rgba(255, 232, 165, 0.508)","rgba(255, 223, 130, 0.705)",,144,6,,15,,,,,,174,True,True,True,True,True,False,True,<div><span>Origin SA2: Greensboro (179901)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 174</span></div>
sa2_od_180700__179401,arc,sa2_180700,180700,Hillcrest East (Hamilton City),Hillcrest East (Hamilton City),sa2_179401,179401,Hamilton Central,Hamilton Central,-37.7961051342553,175.3216712243885,-37.78937741033796,175.28276636339749,174,42,357,0.705,High (85-199),4,174,174,#ffdf82ff,"rgba(255, 232, 165, 0.508)","rgba(255, 223, 130, 0.705)",,102,9,9,39,,9,,,,174,True,True,True,True,True,False,True,<div><span>Origin SA2: Hillcrest East (Hamilton City) (180700)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 174</span></div>
sa2_od_175901__176301,arc,sa2_175901,175901,Rototuna West,Rototuna West,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.72718185885173,175.2620613631393,-37.75883079239065,175.23971391369508,171,43,355,0.702,High (85-199),4,171,171,#ffe083ff,"rgba(255, 233, 165, 0.505)","rgba(255, 224, 131, 0.702)",,105,42,12,6,,,,,,171,True,True,True,True,True,False,True,<div><span>Origin SA2: Rototuna West (175901)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 171</span></div>
sa2_od_178500__176301,arc,sa2_178500,178500,Fairview Downs,Fairview Downs,sa2_176301,176301,Te Rapa South,Te Rapa South,-37.76127567330443,175.30317362472283,-37.75883079239065,175.23971391369508,171,44,355,0.702,High (85-199),4,171,171,#ffe083ff,"rgba(255, 233, 165, 0.505)","rgba(255, 224, 131, 0.702)",,132,21,6,,,,,,,171,True,True,True,True,True,False,True,<div><span>Origin SA2: Fairview Downs (178500)</span><br><span>Destination SA2: Te Rapa South (176301)</span><br><span>People count: 171</span></div>
sa2_od_181101__178901,arc,sa2_181101,181101,Fitzroy (Hamilton City),Fitzroy (Hamilton City),sa2_178901,178901,Frankton Junction,Frankton Junction,-37.81785447884041,175.30086295024012,-37.79592696152542,175.26300437719928,171,45,355,0.702,High (85-199),4,171,171,#ffe083ff,"rgba(255, 233, 165, 0.505)","rgba(255, 224, 131, 0.702)",,129,24,6,,,,,,,171,True,True,True,True,True,False,True,<div><span>Origin SA2: Fitzroy (Hamilton City) (181101)</span><br><span>Destination SA2: Frankton Junction (178901)</span><br><span>People count: 171</span></div>
sa2_od_177000__179401,arc,sa2_177000,177000,Western Heights (Hamilton City),Western Heights (Hamilton City),sa2_179401,179401,Hamilton Central,Hamilton Central,-37.78528581595473,175.22663966802807,-37.78937741033796,175.28276636339749,168,46,353,0.699,High (85-199),4,168,168,#ffe084ff,"rgba(255, 233, 166, 0.503)","rgba(255, 224, 132, 0.699)",,141,12,6,9,,,,,,168,True,True,True,True,True,False,True,<div><span>Origin SA2: Western Heights (Hamilton City) (177000)</span><br><span>Destination SA2: Hamilton Central (179401)</span><br><span>People count: 168</span></div>
