place_feature_id,road_surface,road_length_km,place_area_km2,road_density_km_per_km2
176202,unmetalled,0.0,0.88396015,0.0
176201,metalled,0.0,1.09371248,0.0
176201,sealed,10.542509991372537,1.09371248,9.639196940838177
176201,unmetalled,0.0,1.09371248,0.0
176101,metalled,0.15123480493898972,1.40794464,0.10741530642780793
176101,sealed,16.247396312760184,1.40794464,11.53979769599477
176101,unmetalled,0.04499266288583932,1.40794464,0.031956272716688154
176000,metalled,0.0,1.09134429,0.0
176000,sealed,9.953993704939657,1.09134429,9.12085562379188
176000,unmetalled,0.0,1.09134429,0.0
175902,metalled,0.0,0.75156296,0.0
175902,sealed,8.33907198216155,0.75156296,11.095639921054053
175902,unmetalled,0.0,0.75156296,0.0
175901,metalled,0.0,0.8380901399999999,0.0
175901,sealed,10.999927787879622,0.8380901399999999,13.124993676550858
175901,unmetalled,0.0,0.8380901399999999,0.0
175801,metalled,0.04922611610585785,1.8204780100000004,0.027040214622453936
175801,sealed,17.24035804247724,1.8204780100000004,9.470236909083695
175801,unmetalled,0.0,1.8204780100000004,0.0
175700,metalled,0.0,0.8397192299999999,0.0
175700,sealed,8.255759339970178,0.8397192299999999,9.831571131186525
175700,unmetalled,0.0,0.8397192299999999,0.0
175601,metalled,0.0027253774884014614,2.4362315800000003,0.0011186857237937377
175601,sealed,15.393595613111046,2.4362315800000003,6.318609338899976
175601,unmetalled,0.0,2.4362315800000003,0.0
175501,metalled,0.0,1.54738272,0.0
175501,sealed,13.308764896934182,1.54738272,8.600823005787593
175501,unmetalled,0.0,1.54738272,0.0
175401,metalled,0.11110090568090615,7.100909470000001,0.015646010718808126
175401,sealed,17.05301675862732,7.100909470000001,2.401525724369968
175401,unmetalled,0.3205613929287076,7.100909470000001,0.04514370930695833
175302,metalled,0.0,0.90113813,0.0
175302,sealed,11.110709092635501,0.90113813,12.329640398898114
175302,unmetalled,0.0,0.90113813,0.0
175301,metalled,0.0,0.94064252,0.0
175301,sealed,9.679205022419254,0.94064252,10.289993080920107
175301,unmetalled,0.0,0.94064252,0.0
175201,metalled,0.6688069860038004,8.380652739999999,0.0798036867476507
175201,sealed,36.01072702252807,8.380652739999999,4.29688809925897
175201,unmetalled,0.0,8.380652739999999,0.0
