geometry_id,layer_type,road_feature_id,road_surface,road_name,road_length_total_km,road_length_rank,path_width_m,path_color_value,path_color_hex,wkp,tooltip_html
road_3234567,path,3234567,sealed,DEANWELL AVENUE,0.636375357871689,307,37,#1464a5cc,#1464a5cc,@EAAgjaimInoqcgArQmkAfKar@lBeOvGwc@lBsMzBuI|EoLj@aAfCkE`E}EvNaOlM_N~@aA`AcApOsOfBoDhIw\rA{FtBoC,<div><strong>DEANWELL AVENUE</strong><br><span>Surface: sealed</span><br><span>Length: 0.64 km</span><br><span>Length rank: 307</span></div>
road_3265113,path,3265113,sealed,SUNSHINE AVENUE,0.6338721840367642,308,37,#1464a5cc,#1464a5cc,@EAAgscgmIheq_gAz|Aj{@tIxEvs@n`@vf@hXlnBdfA~AjAdArAn@`BzAtFnDhW,<div><strong>SUNSHINE AVENUE</strong><br><span>Surface: sealed</span><br><span>Length: 0.63 km</span><br><span>Length rank: 308</span></div>
road_3234658,path,3234658,sealed,ALCONBURY DRIVE,0.6327245376526227,309,37,#1464a5cc,#1464a5cc,@EAAakwhmInup}fA`KdSdO~XhFnJnCxFdEvItNtRlCpEfAtDfEn\jDfb@jAvk@]~UYxEm@xDeLdg@w@jGm@vHIvDN~Dt@fP,<div><strong>ALCONBURY DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.63 km</span><br><span>Length rank: 309</span></div>
road_3258145,path,3258145,sealed,MAHANA ROAD,0.6308324064142413,310,37,#1464a5cc,#1464a5cc,@EAA{~ugmIvgp_gAhMjHb`@~RvCvAjHzB~o@jQxQpEzD~Ar@X~HfCj_@fQpgAvg@~_Abc@`v@n^,<div><strong>MAHANA ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.63 km</span><br><span>Length rank: 310</span></div>
road_3258202,path,3258202,sealed,ALDERSON ROAD,0.629769084137529,311,37,#1464a5cc,#1464a5cc,@EAAeyljmIzbz_gAe]eGgWsEqf@gJa[oFwK[eGFmFb@{GjAoGfB{FbCaHlFuErF_FdNqDvO_Otn@eFvTcDjM_ErK}Uhq@,<div><strong>ALDERSON ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.63 km</span><br><span>Length rank: 311</span></div>
road_3234645,path,3234645,sealed,TENNYSON ROAD,0.6278164363719315,312,37,#1464a5cc,#1464a5cc,@EAAi|_jmItfb`gAqYp{@eCrHoWpt@y_@liA{@xF`@bFdAtExClFdDtDnEnC`MtDlRvDdc@fJ~l@fM,<div><strong>TENNYSON ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.63 km</span><br><span>Length rank: 312</span></div>
road_3234657,path,3234657,sealed,DARJON DRIVE,0.6275230996042293,313,37,#1464a5cc,#1464a5cc,@EAAcnqimIzju~fAoLcAeGo@oH{@}SaC_Iw@eHs@qRc@yJTsFp@wEbA{D~AcGzDgDtDkC`F}B~HuAxJkDtJiFjGeHxDuGrBmGdAmHf@iIKaEKaDKsEYcF?_HZeHb@qGt@eGdAqLvBqJdAyIf@{MN{HQkFMiG[_Fe@eFg@yHqAmP_B,<div><strong>DARJON DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.63 km</span><br><span>Length rank: 313</span></div>
road_3234602,path,3234602,sealed,FLYNN ROAD,0.6262102902839631,314,37,#1464a5cc,#1464a5cc,@EAAeiikmIbqgbgAxtAij@xJgG`CoCbCwCtA_DrBoEhEuSn_@ewAxZmkAjMgh@,<div><strong>FLYNN ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.63 km</span><br><span>Length rank: 314</span></div>
road_3258052,path,3258052,sealed,LANSDOWNE CRESCENT,0.6248384001833679,315,37,#1464a5cc,#1464a5cc,@EAAoydjmIjpicgAwd@og@mKiLaOaQ}QwHgP{AoW|Di]`Qak@fYoAn@kIpGkFhLc@pIt@`H`FvJzHvFpe@pTzQbU,<div><strong>LANSDOWNE CRESCENT</strong><br><span>Surface: sealed</span><br><span>Length: 0.62 km</span><br><span>Length rank: 315</span></div>
road_3258122,path,3258122,sealed,LLOYD DRIVE,0.624466550381849,316,37,#1464a5cc,#1464a5cc,@EAA{acfmItwl`gAgC`Ea@f@kDvEoExDkGvEsOzMyGvGmEhFsKdNgDlFwGtLmEpJ{DzJwC`JaDxL[jBqBnLgBfPu@jOMfLb@bOF`GjBfPbBrKlRr~@,<div><strong>LLOYD DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.62 km</span><br><span>Length rank: 316</span></div>
road_8114513,path,8114513,unmetalled,,0.6228808221198268,317,37,#734a12cc,#734a12cc,@EAAmnklmIj|l`gAip@tjA{^`{@m{@rnBiYzc@mMxNcG|BsJv@,<div><strong>Road 8114513</strong><br><span>Surface: unmetalled</span><br><span>Length: 0.62 km</span><br><span>Length rank: 317</span></div>
road_3234560,path,3234560,sealed,SAYER STREET,0.621264218684815,318,37,#1464a5cc,#1464a5cc,@EAAgn{gmInc~agAfImA`fA_PhxAsTxnAmQztAiTrtAmS,<div><strong>SAYER STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.62 km</span><br><span>Length rank: 318</span></div>
road_3257969,path,3257969,sealed,GREENFIELD DRIVE,0.6170259537321229,319,37,#1464a5cc,#1464a5cc,@EAAi_nfmItquagArg@cBjMkCtH{FfG}K~BiC`JgEpE_AvIq@vI@f^hBtIS|OkCbIsArIc@jLEvk@zGlEpArC~AnFzHhAzJ]bH{CbG_FrD_JjBgWtAiF|AmEbB}DjCmOnL,<div><strong>GREENFIELD DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.62 km</span><br><span>Length rank: 319</span></div>
road_3257968,path,3257968,sealed,MELVA STREET,0.6112800807112587,320,37,#1464a5cc,#1464a5cc,@EAActifmIxhgbgAaI_c@yg@cnCsAeHcGo[{AsD}AkCcC}CiC}BoIgFgNgEgN_BmG{@cEqAyFuCwBsDcAsDi@qK_@qP,<div><strong>MELVA STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.61 km</span><br><span>Length rank: 320</span></div>
road_8325556,path,8325556,sealed,PARDOA BOULEVARD,0.6091712374788596,321,37,#1464a5cc,#1464a5cc,@EAAgsujmIbfr~fAgh@xnA_Vdi@aYhu@gJjWwGbUsHdYoI|^mGt\w@`FIpD,<div><strong>PARDOA BOULEVARD</strong><br><span>Surface: sealed</span><br><span>Length: 0.61 km</span><br><span>Length rank: 321</span></div>
road_3234613,path,3234613,sealed,ENGLISH STREET,0.6066257368299636,322,37,#1464a5cc,#1464a5cc,@EAAgddgmI~va_gAoEwGe]wg@{Bq@oCWsxDsEmgCmCmCLwBx@{I`J,<div><strong>ENGLISH STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.61 km</span><br><span>Length rank: 322</span></div>
road_3258121,path,3258121,sealed,FENWICK CRESCENT,0.6062277319413116,323,37,#1464a5cc,#1464a5cc,@EAAck{kmIx~abgA|q@w~B^iAv@{@lAw@hBW~AAfBLbt@pLrBh@lAl@z@~@VlAGpB}q@n~B,<div><strong>FENWICK CRESCENT</strong><br><span>Surface: sealed</span><br><span>Length: 0.61 km</span><br><span>Length rank: 323</span></div>
road_3265118,path,3265118,sealed,EDENPARK DRIVE,0.6049749111650501,324,37,#1464a5cc,#1464a5cc,@EAAy~hhmIzaw}fAs@sDcAuDqB_CgGgD{XeMmOaIq[{PsY{LcLaFuCu@kE]oGIusAlFoDN}sAdDo_AvE,<div><strong>EDENPARK DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.60 km</span><br><span>Length rank: 324</span></div>
road_3258153,path,3258153,sealed,CECIL STREET,0.6043726734522289,325,37,#1464a5cc,#1464a5cc,@EAAqgkgmIxg~~fAkBvs@w@|f@b@pCbCxC|_@xTfgDrnBz[pP,<div><strong>CECIL STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.60 km</span><br><span>Length rank: 325</span></div>
road_3238116,path,3238116,sealed,GALLAGHER DRIVE,0.6029583284376884,326,37,#1464a5cc,#1464a5cc,@EAAamohmIze|bgAyJksBgBc]{IkyB_Deb@gEaa@,<div><strong>GALLAGHER DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.60 km</span><br><span>Length rank: 326</span></div>
road_3234636,path,3234636,sealed,TONGARIRO STREET,0.6029314326210454,327,37,#1464a5cc,#1464a5cc,@EAAu{mimI~so_gAzm@iFdHW|HCjKj@rIlAj{Bn_@vNhC|SlDn}@lEdTtCrKpAd|@nMhDf@,<div><strong>TONGARIRO STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.60 km</span><br><span>Length rank: 327</span></div>
road_3258180,path,3258180,sealed,CHALLINOR STREET,0.6025462580679164,328,37,#1464a5cc,#1464a5cc,@EAAm{bgmIrkm~fArw@xt@nJnH`IhEzRbIfOlDzaAtJnmA`K|q@hGnaAtI,<div><strong>CHALLINOR STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.60 km</span><br><span>Length rank: 328</span></div>
road_3258192,path,3258192,sealed,TUIRANGI STREET,0.5988607698004463,329,37,#1464a5cc,#1464a5cc,@EAAecqgmIryw}fA`ByBrFiJjHiOhEkIxEwLtGeXz@wFnAsGb@gBjCeGxDqKnBgG`A}Ff@kDPsAv@{IBU`A{H^}CxAkGdBmEnEkK|C_FzE_GlRsVrC}AnCKbN`@pUlDvGtApIr@|^pA,<div><strong>TUIRANGI STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.60 km</span><br><span>Length rank: 329</span></div>
road_3257964,path,3257964,unmetalled,,0.5970775296694211,330,36,#734a12cc,#734a12cc,@EAAwnofmIb|jbgAeHrKiB|DsBbDcDdDwOtKuSrMgHbGqAbBsAdGItGb@nGhDhLpE~PdBnHp@|HCjE{AfDmC|CsIrGeVhP_eA~r@s`@xY,<div><strong>Road 3257964</strong><br><span>Surface: unmetalled</span><br><span>Length: 0.60 km</span><br><span>Length rank: 330</span></div>
road_100122887,path,100122887,metalled,POWELLS ROAD,0.5913944392827669,331,36,#bb7f22cc,#bb7f22cc,@EAA}bekmI`yz_gA_wFggAqRsDg}Buc@,<div><strong>POWELLS ROAD</strong><br><span>Surface: metalled</span><br><span>Length: 0.59 km</span><br><span>Length rank: 331</span></div>
road_3257981,path,3257981,sealed,WEKA STREET,0.5908843909335578,332,36,#1464a5cc,#1464a5cc,@EAA_ylgmIrjmagAaOdBm]pEs{Bz\_KzAmaBdVcInA_mB|Y,<div><strong>WEKA STREET</strong><br><span>Surface: sealed</span><br><span>Length: 0.59 km</span><br><span>Length rank: 332</span></div>
road_7742044,path,7742044,sealed,THE MEADOWS DRIVE,0.5898822131413907,333,36,#1464a5cc,#1464a5cc,@EAAkdlfmItnc}fA_PoGsOcGoFwBaD}A_DmBiAoA_AaBo@cBWaCAgDEkSC_CMsA?Es@uAkAkAgBy@gCm@yBSwCBov@|BoKXcEJcCRqBj@yAx@uAxAs@bB[fFw@x]YvPGbBWxBc@lB}@pBkBrCq@r@uA|AqCdBaChAeAl@o@f@q@z@i@hAS`AQvA@|IZbZ,<div><strong>THE MEADOWS DRIVE</strong><br><span>Surface: sealed</span><br><span>Length: 0.59 km</span><br><span>Length rank: 333</span></div>
road_8326484,path,8326484,sealed,GREENHILL ROAD,0.5895142134918575,334,36,#1464a5cc,#1464a5cc,@EAAgsujmIbfr~fAgd@bm@}PdUwU~Yod@tm@c]zd@{QtV_OhRcO`PeNpLaKdIqM|E,<div><strong>GREENHILL ROAD</strong><br><span>Surface: sealed</span><br><span>Length: 0.59 km</span><br><span>Length rank: 334</span></div>
